,City,Legal Status,Legal Status Code,Population,Violent Crime per Capita,Rape per Capita,Robbery per Capita,Aggravated Assault per Capita,Property Crime Total per Capita,Burglary per Capita,Larceny-Theft per Capita,Motor Vehicle Theft per Capita
2175,Holton,Illegal,1.0,3196.0,0.0037546933667083854,0.0,0.0006257822277847309,0.0031289111389236545,0.009073842302878598,0.0015644555694618273,0.0071964956195244055,0.00031289111389236547
2176,Horton,Illegal,1.0,1676.0,0.0017899761336515514,0.0,0.0,0.0017899761336515514,0.008353221957040573,0.002386634844868735,0.0053699284009546535,0.0005966587112171838
2177,Hugoton,Illegal,1.0,3724.0,0.0024167561761546724,0.0,0.0,0.0024167561761546724,0.00832438238453276,0.0008055853920515575,0.006981740064446832,0.0005370569280343716
2178,Independence2,Illegal,1.0,8405.0,0.010945865556216537,0.001189767995240928,0.0007138607971445568,0.008804283164782867,,,0.03783462224866151,0.0032123735871505054
2179,Inman,Illegal,1.0,1328.0,0.0030120481927710845,0.0,0.0007530120481927711,0.002259036144578313,0.00677710843373494,0.0,0.006024096385542169,0.0007530120481927711
2180,Iola,Illegal,1.0,5220.0,0.00632183908045977,0.0015325670498084292,0.00019157088122605365,0.004597701149425287,0.04118773946360153,0.009195402298850575,0.03065134099616858,0.0013409961685823754
2181,Junction City,Illegal,1.0,21242.0,0.009038696921193861,0.0014122963939365409,0.0003295358252518595,0.007155635062611807,0.022737971942378307,0.0038602768100932114,0.017418322191884,0.001459372940401092
2182,Kanopolis,Illegal,1.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2183,Kechi,Illegal,1.0,2015.0,0.0,0.0,0.0,0.0,0.010918114143920596,0.002977667493796526,0.00794044665012407,0.0
2184,Kingman2,Illegal,1.0,2807.0,0.003206270039187745,0.0003562522265764161,0.0,0.0028500178126113287,,,0.009618810117563235,0.0010687566797292483
2185,Lansing,Illegal,1.0,12023.0,0.002994260999750478,0.00041586958329867756,0.000166347833319471,0.0024120435831323297,0.010064043915827997,0.0012476087498960325,0.00740247858271646,0.0014139565832155035
2186,Larned,Illegal,1.0,3632.0,0.006883259911894273,0.0005506607929515419,0.0,0.006332599118942731,0.03386563876651982,0.008535242290748899,0.024229074889867842,0.0011013215859030838
